comarca,serventia,n_observacoes,n_treino,n_teste,mae_cv,mae_teste,rmse_teste,melhores_params,top_features
SENADOR CANEDO,1ª Vara Cível,1040,1037,3,0.9856553312789564,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 1.0}","[('diff_12', 0.35491318), ('diff_1', 0.18737139), ('lag_12', 0.162347), ('lag_1', 0.113234244), ('media_movel_6', 0.06092727)]"
PORANGATU,"1ª Vara Cível, de Família e Sucessões e da Infância e Juventude",1068,1065,3,0.8349641540872177,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_12', 0.2952127), ('diff_1', 0.20271897), ('lag_12', 0.12716997), ('lag_1', 0.11903273), ('media_movel_6', 0.08453633)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. ADRIANO ROBERTO LINHARES CAMARGO,62,59,3,9.869379160787497,62.82301584879557,64.53791084268327,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.9}","[('diff_12', 0.4440373), ('diff_1', 0.18773492), ('std_movel_12', 0.13655448), ('media_movel_6', 0.07022116), ('lag_6', 0.05468307)]"
QUIRINÓPOLIS,Vara Criminal,682,679,3,2.297076366053218,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_12', 0.28923845), ('diff_1', 0.18523206), ('tendencia', 0.123116694), ('lag_12', 0.09096748), ('lag_1', 0.08698757)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. SERGIO MENDONÇA DE ARAÚJO,170,167,3,8.34768624072384,3.6075439453125,4.493741280227854,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 1.0}","[('diff_1', 0.47879675), ('media_movel_12', 0.23705088), ('diff_12', 0.11788002), ('trimestre_sin', 0.06427017), ('tendencia', 0.048035204)]"
QUIRINÓPOLIS,Juizado Especial Cível e Criminal,613,610,3,4.670155673867405,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('ano', 0.6064107), ('tendencia', 0.19819266), ('media_movel_3', 0.068151295), ('diff_1', 0.031007493), ('diff_12', 0.02490948)]"
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",920,917,3,1.0787744801169947,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.8}","[('diff_1', 0.30094963), ('diff_12', 0.27998734), ('lag_12', 0.09718206), ('lag_1', 0.08982525), ('tendencia_quad', 0.060868688)]"
GOIANIRA,Vara Cível,1028,1025,3,0.8384578913071576,0.04512786865234375,0.04512786865234375,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.8}","[('diff_12', 0.29138213), ('diff_1', 0.2698297), ('lag_12', 0.13037598), ('lag_1', 0.09221348), ('media_movel_12', 0.05882105)]"
GOIÂNIA,1ª Vara de Sucessões,1068,1065,3,0.5749847974184543,0.022735595703125,0.022735595703125,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}","[('diff_12', 0.2996853), ('diff_1', 0.27105436), ('lag_1', 0.113788806), ('lag_12', 0.103758834), ('trimestre_cos', 0.08658852)]"
RIO VERDE,2ª Vara Cível,1068,1065,3,0.5002052346784517,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_1', 0.3295561), ('diff_12', 0.29288903), ('lag_1', 0.1568682), ('lag_12', 0.09502335), ('media_movel_12', 0.037369903)]"
APARECIDA DE GOIÂNIA,1ª Vara Cível,1068,1065,3,0.44285625910354876,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.9}","[('diff_1', 0.30254865), ('diff_12', 0.25266716), ('lag_1', 0.12125251), ('media_movel_12', 0.10122286), ('lag_12', 0.08116025)]"
ITUMBIARA,1ª Vara (Cív. e da Inf.e da Juv.),1068,1065,3,0.9381236460195425,0.008880615234375,0.008880615234375,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_12', 0.31165987), ('diff_1', 0.2268879), ('lag_1', 0.13565364), ('lag_12', 0.1303808), ('media_movel_12', 0.064414)]"
NOVO GAMA,"1ª Vara Criminal (Crimes em Geral, Crimes Dolosos Contra a Vida e Execução Penal) e Juizado Especial Criminal",715,712,3,1.3439731533244506,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.9}","[('diff_1', 0.29055557), ('diff_12', 0.22101139), ('tendencia', 0.11092645), ('lag_1', 0.091031455), ('media_movel_12', 0.07240641)]"
